,Year,Season,Player,Pos,Age,Tm,G,GS,TOV,PF,PTS
77,1993,regular,Cedric Ceballos,Small Forward,24,PHO,53,43,1.8,2.3,19.1
78,1993,regular,Tom Chambers,Power Forward,34,UTA,80,0,1.1,2.9,11.2
79,1993,regular,Rex Chapman,Shooting Guard,26,WSB,60,59,2.0,1.4,18.2
80,1993,regular,Calbert Cheaney,Shooting Guard,22,WSB,65,21,1.7,2.3,12.0
81,1993,regular,Pete Chilcutt,Power Forward,25,TOT,76,24,1.0,2.2,5.9
84,1993,regular,Doug Christie,Shooting Guard,23,LAL,65,34,2.2,2.9,10.3
85,1993,regular,Ben Coleman,Power Forward,32,DET,9,0,0.8,1.0,3.1
86,1993,regular,Derrick Coleman,Power Forward,26,NJN,77,77,2.7,2.7,20.2
87,1993,regular,Bimbo Coles,Point Guard,25,MIA,76,4,1.4,1.7,7.7
88,1993,regular,Marty Conlon,Center,26,TOT,30,9,1.1,2.3,7.8
91,1993,regular,Lester Conner,Point Guard,34,IND,11,0,0.8,1.1,2.8
92,1993,regular,Anthony Cook,Power Forward,26,TOT,25,0,0.5,0.9,2.5
95,1993,regular,Duane Cooper,Point Guard,24,PHO,23,2,0.9,0.5,2.1
96,1993,regular,Tyrone Corbin,Small Forward,31,UTA,82,17,1.1,2.6,8.0
97,1993,regular,Chris Corchiani,Point Guard,25,BOS,51,0,0.7,0.9,2.3
98,1993,regular,Joe Courtney,Power Forward,24,TOT,52,1,0.4,0.8,3.2
101,1993,regular,John Crotty,Point Guard,24,UTA,45,0,0.6,0.8,2.9
102,1993,regular,Terry Cummings,Power Forward,32,SAS,59,29,1.0,2.3,7.3
103,1993,regular,Earl Cureton,Power Forward,36,HOU,2,0,0.5,2.0,2.0
104,1993,regular,Dell Curry,Shooting Guard,29,CHH,82,0,1.5,2.0,16.3
105,1993,regular,Michael Curry,Shooting Guard,25,PHI,10,0,0.3,0.6,0.9
106,1993,regular,Lloyd Daniels,Shooting Guard,26,SAS,65,5,0.9,1.1,5.7
107,1993,regular,Brad Daugherty,Center,28,CLE,50,50,2.2,2.9,17.0
108,1993,regular,Antonio Davis,Power Forward,25,IND,81,4,1.3,2.3,7.7
109,1993,regular,Brian Davis,Small Forward,23,MIN,68,3,0.3,0.5,1.9
110,1993,regular,Dale Davis,Power Forward,24,IND,66,64,1.5,3.2,11.7
111,1993,regular,Hubert Davis,Shooting Guard,23,NYK,56,27,1.4,2.1,11.0
112,1993,regular,Terry Davis,Power Forward,26,DAL,15,5,0.3,1.8,3.7
113,1993,regular,Johnny Dawkins,Point Guard,30,PHI,72,12,1.5,1.0,6.6
114,1993,regular,Todd Day,Shooting Guard,24,MIL,76,39,1.7,2.9,12.7
115,1993,regular,Terry Dehere,Point Guard,22,LAC,64,6,1.0,1.1,5.3
116,1993,regular,Vinny Del Negro,Shooting Guard,27,SAS,77,56,1.3,2.2,10.0
